tableName,tableId,permission,feature
,PerformanceReviewScheduleTalentDataset,LIST_TALENT_ADMINISTRATION,SuiteAnalytics Workbook
1099-MISC Category,category1099misc,LIST_ACCOUNT,Accounting
3D Secure Transaction Status,ThreeDSTranStatus,,
3D Secure Transaction Status Reason,ThreeDSTranStatusReason,,
3D Secure Version,ThreeDSVersion,,
Access Token,OAuthToken,ADMI_MANAGE_OAUTH_TOKENS,Token-based Authentication
Account,Account,LIST_ACCOUNT,Accounting
Accounting Book,accountingBook,ADMI_ACCOUNTINGBOOK,Adjustment Only Books
Accounting Context,AccountingContext,ADMI_SETUPCOMPANY,Accounting
Accounting Line Type,TransactionAccountingLineType,TRAN_FIND,
Accounting Period,accountingPeriod,ADMI_ACCTPERIODS,Accounting Periods
Account Type,AutomatedClearingHouseAccountType,,
Account Type,accountType,LIST_ACCOUNT,Accounting
Accrual Frequency,timeOffAccrualFrequency,,
Accrual Type,timeOffAccrualType,,
Action,ActionType,ADMI_EXPENSEREPORTPOLICY,Expense Reports
Activity,Activity,,
Address Book,transactionBillingAddressbook,LIST_ADDRESS,
Address Book,AddressBook,,
Address Book,transactionAddressbook,,
Address Book,transactionReturnAddressbook,,
Address Book,transactionShippingAddressbook,,
Address Book,transactionPayeeAddressbook,,
Address Type,addressType,,
Admissibility Package Type,AdmissibilityPackageType,,
Advanced PDF/HTML Template,AdvancedPdfTemplate,ADMI_ADVANCED_TEMPLATES,Advanced PDF/HTML Templates
Algorithm,RecSysAlgorithm,ADMI_RECSYS,Intelligent Recommendations
Allocation_Method,AllocationMethod,,
Allocation Schedule,GeneralAllocationSchedule,TRAN_ALLOCSCHEDULE,Expense Allocation
Allocation Type,resourceAllocationType,LIST_RSRCALLOCATION,
All Parser Plug-in,AllParserPlugin,ADMI_CUSTOMSCRIPT,
Amortization Schedule,AmortizationSchedule,LIST_AMORTIZATION,Amortization
Amortization Template,AmortizationTemplate,LIST_AMORTIZATION,Amortization
API Version,scriptVersion,,
Apply Discount To,applyDiscountTo,LIST_PROMOTIONCODE,
Approval Status,ApprovalStatus,,
Approval Status,timeLineApprovalStatus,TRAN_TIMEBILL,
ATP Method,ATPMethodType,,
Audit Trail,UsrAuditLog,ADMI_ANALYTICS,
Audit Trail,UsrDsAuditLog,ADMI_ANALYTICS,
Automated Clearing House,AutomatedClearingHouse,LIST_ACH,Credit Card Payments
Billing Schedule,billingSchedule,LIST_BILLINGSCHEDULE,Advanced Billing
Billing Schedule Type,BillingScheduleType,LIST_BILLINGSCHEDULE,
Bill Variance Status,BillVarianceStatus,TRAN_POSTVENDORBILLVARIANCE,Advanced Receiving
Bin,bin,LIST_BIN,Bin Management
Budget,budgets,TRAN_BUDGET,Accounting
Budget Category,budgetcategory,ADMI_ACCOUNTINGLIST,Multiple Budgets
Budget Exchange Rate,budgetExchangeRate,TRAN_BUDGET,"Subsidiaries, Multiple Currencies and Multiple Budgets"
Budget Import,budgetimport,TRAN_BUDGET,
Budget Legacy,budgetLegacy,TRAN_BUDGET,Accounting
Bulk Processing Submission,BulkProcSubmission,ADMI_SETUPCOMPANY,
Bundle Installation Script,bundleInstallationScript,ADMI_CUSTOMSCRIPT,
Bundle Installation Script Deployment,bundleInstallationScriptDeployment,ADMI_CUSTOMSCRIPT,
Business Event Handler Feed Detail Type,BusinessEventHandlerFeedDetailType,,
Business Events Handler,BusinessEventHandler,,
Business Events Handler Feed Status,BusinessEventHandlerFeedStatus,,
Business Event Type,BusinessEventType,,
Calculate Quantity Discounts,overallQuantityPricingType,,Sales Order Reports
Calculate Quantity Discounts,CalculateDiscountType,,
Campaign,SearchCampaign,,Marketing Automation
Campaign Audience,CampaignAudience,ADMI_CAMPAIGNSETUP,Marketing Automation
Campaign Category,CampaignCategory,ADMI_CAMPAIGNSETUP,Marketing Automation
Campaign Channel,CampaignChannel,ADMI_CAMPAIGNSETUP,Marketing Automation
Campaign Email Address,CampaignEmailAddress,ADMI_CAMPAIGNEMAIL,Marketing Automation
Campaign Email Template,CampaignTemplate,LIST_CRMTEMPLATE,Marketing Automation
Campaign Event,CampaignEvent,,Marketing Automation
Campaign Family,CampaignFamily,ADMI_CAMPAIGNSETUP,Marketing Automation
Campaign Offer,CampaignOffer,ADMI_CAMPAIGNSETUP,Marketing Automation
Campaign Response,CampaignResponse,LIST_CAMPAIGNHISTORY,Marketing Automation
Campaign Search Engine,CampaignSearchEngine,ADMI_CAMPAIGNSETUP,Marketing Automation
Campaign Subscription,CampaignSubscription,ADMI_CAMPAIGNSETUP,Subscription Categories
Campaign Vertical,CampaignVertical,ADMI_CAMPAIGNSETUP,Marketing Automation
Card Brand,paymentCardBrand,,
Cardholder Authentication,cardholderAuthentication,TRAN_CARDHOLDERAUTHENTICATION,Credit Card Payments
Cardholder Authentication Event,CardholderAuthenticationEvent,TRAN_CARDHOLDERAUTHEVENT,Credit Card Payments
Cardholder Authentication Status,CardholderAuthenticationStatus,,
Cart Sort Order,CartSortOrder,,
Case,supportCase,LIST_CASE,Customer Support and Service
Case Priority,supportCasePriority,ADMI_CASEPRIORITY,Customer Support and Service
Case Status,supportCaseStatus,ADMI_CASESTATUS,Customer Support and Service
Category Name,SiteCategoryType,,
Center Type,CenterType,ADMI_CUSTCENTER,
Challenge window size,ChallengeWindowSize,,
Class,classification,LIST_CLASS,Classes
Client Script,clientScript,ADMI_CUSTOMSCRIPT,
Client Script Deployment,clientScriptDeployment,ADMI_CUSTOMSCRIPT,
Commission Payment Type,CommissionPaymentType,,
Commit Criteria,InvtCommit,,
Competitor,Competitor,LIST_COMPETITOR,Customer Relationship Management
Consolidated Exchange Rate,ConsolidatedRateType,LIST_CURRENCY,
Consolidated Exchange Rate,consolidatedExchangeRate,LIST_CURRENCY,Subsidiaries And Multiple Currencies
Consolidated Rate Adjustor Plugin,consolidatedRateAdjustorPlugin,ADMI_CUSTOMSCRIPT,
Contact,Contact,LIST_CONTACT,
Contact Category,ContactCategory,ADMI_CRMLIST,
Contact Role,ContactRole,LIST_CONTACTROLE,
Contact-Subsidiary Relationship,ContactSubsidiaryRelationship,LIST_CONTACT,Subsidiaries
Contribution Type,RetirementPlanContributionType,,
Cost Category,CostCategoryType,,
Cost Category,costCategory,ADMI_ACCOUNTINGLIST,"Mfg Routing, Standard Costing or Landed Cost"
Cost Estimate Type,CostEstimateType,,Gross Profit
Costing Method,CostingMethodType,,
Country,Country,ADMI_SETUPCOMPANY,
Coupon Code,couponCode,LIST_PROMOTIONCODE,Promotion Codes
Credit Hold,Creditholdoverridetype,,
Currency,currency,LIST_CURRENCY,Multiple Currencies
Currency Exchange Rate,currencyRate,LIST_CURRENCY,
Currency Exchange Rate Type,CurrencyRateType,LIST_CURRENCY,Currency Exchange Rate Types
Currency Symbol,CurrencySymbol,LIST_CURRENCY,
Customer,Customer,LIST_CUSTJOB,
Customer Category,customerCategory,ADMI_ACCOUNTINGLIST,
Customer Message,customerMessage,ADMI_ACCOUNTINGLIST,
Customer stage,EntityStage,,
Customer-Subsidiary Relationship,CustomerSubsidiaryRelationship,LIST_CUSTJOB,Subsidiaries
Custom Field,CustomField2,ADMI_CUSTOMSCRIPT,
Custom Field Definition,CustomField,ADMI_CUSTFIELD,
Custom GL Plugin,customGlPlugin,ADMI_CUSTOMSCRIPT,
Custom List Definition,CustomList,ADMI_CUSTLIST,
Custom Plug-in Implementation,plugInTypeImpl,ADMI_CUSTOMSCRIPT,
Custom Plug-In Type,plugInType,ADMI_CUSTOMSCRIPT,
Custom Record Action Script,CustomRecordActionScript,ADMI_CUSTOMSCRIPT,Server SuiteScript
Custom Record Action Script Deployment,RecordActionScriptDeployment,ADMI_CUSTOMSCRIPT,Server SuiteScript
Custom Record Definition,CustomRecordType,ADMI_CUSTRECORD,Custom Records
Custom Segment Definition,CustomSegment,ADMI_MANAGECUSTOMSEGMENTS,Custom Segments
Custom Segment Field,CustomSegmentField,ADMI_MANAGECUSTOMSEGMENTS,
Custom Sublist Definition,sublist,ADMI_SUBLIST,
Custom Transaction Definition,CustomTransactionType,ADMI_CUSTTRANSACTION,Custom Transactions
Dataset Builder Plug-in,datasetBuilderPlugin,ADMI_CUSTOMSCRIPT,SuiteAnalytics Workbook
Day of Week,DayOfWeek,,
Day Of Week in Month,EventDowim,LIST_BILLINGSCHEDULE,Advanced Billing
Default Chart Type,alignOrHide,,
Deleted Record,DeletedRecord,ADMI_DELETEDRECORD,
Demand Source,ItemDemandSource,,
Department,department,LIST_DEPARTMENT,Departments
Device ID,DeviceId,ADMI_DEVICE_ID,
Device Status,DeviceStatusType,ADMI_DEVICE_ID,
Direction,NoteDirectionType,,
Discount Type,promocodediscounttype,LIST_PROMOTIONCODE,
Document Folder,MediaItemFolder,LIST_FILECABINET,
Domain,domain,ADMI_DOMAINS,
dual,dual,,
E-Commerce Indicator (ECI),ThreeDSECommerceIndicator,,
Effectivity Based On,EffectivityBasedOnType,,
Eligibility,RecSysEligibility,ADMI_RECSYS,Intelligent Recommendations
Email Capture Plugin,emailCapturePlugin,ADMI_CUSTOMSCRIPT,
Email Preference Type,EmailPreferenceType,,
Email Template,EmailTemplate,LIST_EMAILTEMPLATE,Is A Business
Employee,employee,LIST_EMPLOYEE_RECORD,
Employee Directory,EmployeeList,ADMI_EMPLCATEGORY,Intranet
Employee Expense Source Type,EmployeeExpenseSourceType,ADMI_EMPLOYEE_EXPENSE_SOURCE,Expense Reports
Employee Filing Status,EmployeeFilingStatus,,
Employee Status,EmployeeStatus,ADMI_EMPLOYEELIST,
Employee-Subsidiary Relationship,EmployeeSubsidiaryRelationship,LIST_EMPLOYEE,Subsidiaries
Employee Type,EmployeeType,ADMI_EMPLOYEELIST,Accounting
Employee Type Category,EmployeeTypeCategory,,
Employment Status Category,EmployeeStatusCategory,,
Entity,entity,LIST_FIND,
Entity List Type,EntityListType,,
Entity Status,EntityStatus,,
Entity-Subsidiary Relationship,EntitySubsidiaryRelationship,LIST_ENTITYSUBSIDIARYRELATION,Subsidiaries
Event,CalendarEvent,LIST_EVENT,
Event Priority,EventPriority,,
Event Type,EventType,,
Exception Type,FulfillmentExceptionType,,
Execution Context,executionContext,,
Execution Log,UsrExecutionLog,ADMI_ANALYTICS,
Expense Category,ExpenseCategory,LIST_CATEGORY,Expense Categories
Expense Report Policy,ExpenseReportPolicy,ADMI_EXPENSEREPORTPOLICY,Expense Reports
Fair Value Range Checking Policy,FairValueRangePolicy,LIST_FAIRVALUEPRICE,
Fax Template,FaxTemplate,LIST_FAXTEMPLATE,Mail Merge
Features,CompanyFeatureSetup,LIST_COMPANY_FEATURE_SETUP,
Field,SystemNoteField,,
Field Type,scriptEventType,,
Field Type,scriptFieldType,,
File,File,LIST_FILECABINET,
Filter Type,PlanningEngineFilterType,,
Financial Institution Connectivity Plug-in,fiConnectivityPlugin,ADMI_CUSTOMSCRIPT,
Financial Institution Parser Plug-in,FIParserPlugin,ADMI_CUSTOMSCRIPT,
First Run Time Select,FirstRunTimeSelect,,
Fiscal Calendar,FiscalCalendar,ADMI_ACCTPERIODS,Multiple Calendars
Folder Type,FolderType,,
Forecast,Forecast,TRAN_FORECAST,
Forecast Type,ForecastType,,
Format Profile,formatProfile,ADMI_FINANCIALINSTITUTION,
Frequency,EventFrequency,,
Frequency,FrequencyType,,
Fulfillment Choice,FulfillmentChoice,,
Fulfillment Exception Reason,fulfillmentExceptionReason,ADMI_FFTEXCEPTIONREASON,
Fulfillment Type,FulfillmentRequestType,,
Gateway Token Family,gatewayTokenFamily,,
General Token,generalToken,LIST_GENERAL_TOKEN,Credit Card Payments
Generic Resource,GenericResource,LIST_GENERICRESOURCE,Project Management
Generic Resource-Subsidiary Relationship,GenericResourceSubsidiaryRelationship,LIST_GENERICRESOURCE,Project Management and Subsidiaries
Gift Certificate,GiftCertificate,LIST_GIFT_CERTIFICATE,
Group,EntityGroup,LIST_CRMGROUP,
Group Type,entityGroupType,,
Handling Mode,paymentHandlingMode,,
Imported Employee Expense,ImportedEmployeeExpense,LIST_IMPORTED_EMPLOYEE_EXPENSE,Expense Reports
Imported Employee Expense Status,ImportedEmployeeExpenseStatus,LIST_IMPORTED_EMPLOYEE_EXPENSE,Expense Reports
Incoterm,Incoterm,ADMI_ACCOUNTINGLIST,Purchase Orders
Incoterm Type,IncotermType,ADMI_ACCOUNTINGLIST,Purchase Orders
Info Item,infoItem,ADMI_STORESETUP,
Intelligent Item Recommendations,RecSysAnalyticsReportAgg,ADMI_RECSYS,Intelligent Recommendations
Intelligent Item Recommendations,RecSysAnalyticsReport,ADMI_RECSYS,Intelligent Recommendations
Intelligent Recommendations Analytics-Transaction Line Relationship,RecSysConversion,ADMI_RECSYS,Intelligent Recommendations
Inventory Balance,InventoryBalance,LIST_ITEM,Advanced Bin/Numbered Inventory Management
Inventory Cost Template,InventoryCostTemplate,LIST_INVCOSTTEMPLATE,Standard Costing
Inventory Item Type,itemType,,
Inventory Standard Cost,standardcostdefaulttype,,
Issue Version Relation,IssueVersionRelation,,
Item,generalizedItem,LIST_ITEM,
Item,item,LIST_ITEM,
Item Collection,ItemCollection,LIST_ITEM_COLLECTION,Inventory
Item Demand Plan,ItemDemandPlan,LIST_ITEMDEMANDPLAN,Material Requirements Planning Or Demand Planning
Item Pricing,InvtItemPriceHistory,LIST_ITEM,
Item Revision,ItemRevision,LIST_ITEM_REVISION,Assembly Without Advanced BoM
Item Source,ItemSource,,Work Orders
Item subtype,ItemSubtype,,
Item Supply Plan,ItemSupplyPlan,LIST_ITEMSUPPLYPLAN,Demand Planning
Item Type,PresItemType,ADMI_STORESETUP,
Item unit,ItemUnit,,
